LOKALNYID,ULICA_LOKALNYID,ULICA_NAZWA,NUMER_ADR,KOD_POCZTOWY,ETYKIETA_NAZWA_SKROCONA
pa_34490,ul_301,ul. Cypriana Godebskiego,29,51-691,Godebskiego 29
pa_44763,ul_301,ul. Cypriana Godebskiego,3,51-691,Godebskiego 3
pa_41830,ul_301,ul. Cypriana Godebskiego,30-32,51-691,Godebskiego 30-32
pa_48183,ul_301,ul. Cypriana Godebskiego,31,51-691,Godebskiego 31
pa_9557,ul_301,ul. Cypriana Godebskiego,33,51-691,Godebskiego 33
pa_58676,ul_301,ul. Cypriana Godebskiego,34,51-691,Godebskiego 34
pa_12721,ul_301,ul. Cypriana Godebskiego,35,51-691,Godebskiego 35
pa_10945,ul_301,ul. Cypriana Godebskiego,36,51-691,Godebskiego 36
pa_23911,ul_301,ul. Cypriana Godebskiego,37,51-691,Godebskiego 37
pa_33394,ul_301,ul. Cypriana Godebskiego,38,51-691,Godebskiego 38
pa_33161,ul_301,ul. Cypriana Godebskiego,39,51-691,Godebskiego 39
pa_26762,ul_301,ul. Cypriana Godebskiego,40,51-691,Godebskiego 40
pa_33177,ul_301,ul. Cypriana Godebskiego,41,51-691,Godebskiego 41
pa_9734,ul_301,ul. Cypriana Godebskiego,42,51-691,Godebskiego 42
pa_15889,ul_301,ul. Cypriana Godebskiego,43,51-691,Godebskiego 43
pa_52090,ul_301,ul. Cypriana Godebskiego,44,51-691,Godebskiego 44
pa_10260,ul_301,ul. Cypriana Godebskiego,45,51-691,Godebskiego 45
pa_22111,ul_301,ul. Cypriana Godebskiego,46,51-691,Godebskiego 46
pa_45865,ul_301,ul. Cypriana Godebskiego,47,51-691,Godebskiego 47
pa_18833,ul_301,ul. Cypriana Godebskiego,48,51-691,Godebskiego 48
pa_46284,ul_301,ul. Cypriana Godebskiego,49,51-691,Godebskiego 49
pa_36798,ul_301,ul. Cypriana Godebskiego,5,51-691,Godebskiego 5
pa_52869,ul_301,ul. Cypriana Godebskiego,50,51-691,Godebskiego 50
pa_59037,ul_301,ul. Cypriana Godebskiego,51,51-691,Godebskiego 51
pa_44333,ul_301,ul. Cypriana Godebskiego,52,51-691,Godebskiego 52
pa_14585,ul_301,ul. Cypriana Godebskiego,53,51-691,Godebskiego 53
pa_19822,ul_301,ul. Cypriana Godebskiego,55,51-691,Godebskiego 55
pa_55756,ul_301,ul. Cypriana Godebskiego,57,51-691,Godebskiego 57
pa_58138,ul_301,ul. Cypriana Godebskiego,59,51-691,Godebskiego 59
pa_48870,ul_301,ul. Cypriana Godebskiego,6,51-691,Godebskiego 6
pa_49700,ul_301,ul. Cypriana Godebskiego,7,51-691,Godebskiego 7
pa_23643,ul_301,ul. Cypriana Godebskiego,8,51-691,Godebskiego 8
pa_32788,ul_301,ul. Cypriana Godebskiego,9,51-691,Godebskiego 9
pa_31693,ul_302,ul. Aleksandra Godlewskiego,1,54-609,Godlewskiego 1
pa_25689,ul_302,ul. Aleksandra Godlewskiego,11,54-609,Godlewskiego 11
pa_32757,ul_302,ul. Aleksandra Godlewskiego,13,54-609,Godlewskiego 13
pa_55980,ul_302,ul. Aleksandra Godlewskiego,2,54-609,Godlewskiego 2
pa_46203,ul_302,ul. Aleksandra Godlewskiego,3,54-609,Godlewskiego 3
pa_15792,ul_302,ul. Aleksandra Godlewskiego,4,54-609,Godlewskiego 4
pa_41690,ul_302,ul. Aleksandra Godlewskiego,5,54-609,Godlewskiego 5
pa_55493,ul_302,ul. Aleksandra Godlewskiego,6,54-609,Godlewskiego 6
pa_18344,ul_302,ul. Aleksandra Godlewskiego,7,54-609,Godlewskiego 7
pa_28433,ul_302,ul. Aleksandra Godlewskiego,7a,54-609,Godlewskiego 7a
pa_11814,ul_302,ul. Aleksandra Godlewskiego,7b,54-609,Godlewskiego 7b
pa_13002,ul_302,ul. Aleksandra Godlewskiego,8,54-609,Godlewskiego 8
pa_33888,ul_302,ul. Aleksandra Godlewskiego,9,54-609,Godlewskiego 9
pa_57593,ul_303,ul. Walerego Goetla,11,52-216,Goetla 11
pa_10776,ul_303,ul. Walerego Goetla,11a,52-216,Goetla 11a
pa_26625,ul_303,ul. Walerego Goetla,11b,52-216,Goetla 11b
pa_10064,ul_303,ul. Walerego Goetla,11c,52-216,Goetla 11c
pa_35349,ul_303,ul. Walerego Goetla,11d,52-216,Goetla 11d
pa_58900,ul_303,ul. Walerego Goetla,11e,52-216,Goetla 11e
pa_54484,ul_303,ul. Walerego Goetla,11f,52-216,Goetla 11f
pa_9921,ul_303,ul. Walerego Goetla,15,52-216,Goetla 15
pa_55677,ul_303,ul. Walerego Goetla,2,52-216,Goetla 2
pa_50064,ul_303,ul. Walerego Goetla,3,52-216,Goetla 3
pa_54924,ul_303,ul. Walerego Goetla,4,52-216,Goetla 4
pa_44007,ul_303,ul. Walerego Goetla,5,52-216,Goetla 5
pa_12488,ul_303,ul. Walerego Goetla,6,52-216,Goetla 6
pa_10125,ul_2040,ul. Gogolińska,1,52-019,Gogolińska 1
pa_12659,ul_2040,ul. Gogolińska,11,52-019,Gogolińska 11
pa_58468,ul_2040,ul. Gogolińska,3,52-019,Gogolińska 3
pa_38738,ul_2040,ul. Gogolińska,5,52-019,Gogolińska 5
pa_31046,ul_2040,ul. Gogolińska,7,52-019,Gogolińska 7
pa_75498,ul_2040,ul. Gogolińska,8,52-019,Gogolińska 8
pa_7961,ul_2040,ul. Gogolińska,9,52-019,Gogolińska 9
pa_39024,ul_1796,ul. Goleszan,10,52-340,Goleszan 10
pa_52527,ul_1796,ul. Goleszan,11,52-340,Goleszan 11
pa_12813,ul_1796,ul. Goleszan,12,52-340,Goleszan 12
pa_54067,ul_1796,ul. Goleszan,13,52-340,Goleszan 13
pa_14917,ul_1796,ul. Goleszan,14,52-340,Goleszan 14
pa_55679,ul_1796,ul. Goleszan,15,52-340,Goleszan 15
pa_43281,ul_1796,ul. Goleszan,16,52-340,Goleszan 16
pa_41413,ul_1796,ul. Goleszan,17,52-340,Goleszan 17
pa_10563,ul_1796,ul. Goleszan,18,52-340,Goleszan 18
pa_8465,ul_1796,ul. Goleszan,19,52-340,Goleszan 19
pa_34588,ul_1796,ul. Goleszan,19a,52-340,Goleszan 19a
pa_48740,ul_1796,ul. Goleszan,20,52-340,Goleszan 20
pa_17909,ul_1796,ul. Goleszan,20a,52-340,Goleszan 20a
pa_57633,ul_1796,ul. Goleszan,21,52-340,Goleszan 21
pa_25642,ul_1796,ul. Goleszan,21a,52-340,Goleszan 21a
pa_22600,ul_1796,ul. Goleszan,22,52-340,Goleszan 22
pa_19329,ul_1796,ul. Goleszan,22a,52-340,Goleszan 22a
pa_31654,ul_1796,ul. Goleszan,24,52-340,Goleszan 24
pa_24973,ul_1796,ul. Goleszan,24a,52-340,Goleszan 24a
pa_41478,ul_1796,ul. Goleszan,3,52-340,Goleszan 3
pa_50686,ul_1796,ul. Goleszan,4,52-340,Goleszan 4
pa_37550,ul_1796,ul. Goleszan,5,52-340,Goleszan 5
pa_11455,ul_1796,ul. Goleszan,6,52-340,Goleszan 6
pa_41926,ul_1796,ul. Goleszan,7,52-340,Goleszan 7
pa_24871,ul_1796,ul. Goleszan,8,52-340,Goleszan 8
pa_45543,ul_1796,ul. Goleszan,9,52-340,Goleszan 9
pa_68789,ul_2552,ul. Gołdapska,1,51-429,Gołdapska 1
pa_68846,ul_2552,ul. Gołdapska,10,51-429,Gołdapska 10
pa_68194,ul_2552,ul. Gołdapska,11,51-429,Gołdapska 11
pa_68906,ul_2552,ul. Gołdapska,12,51-429,Gołdapska 12
pa_68195,ul_2552,ul. Gołdapska,13,51-429,Gołdapska 13
pa_68887,ul_2552,ul. Gołdapska,14,51-429,Gołdapska 14
pa_68196,ul_2552,ul. Gołdapska,15,51-429,Gołdapska 15
pa_68197,ul_2552,ul. Gołdapska,17,51-429,Gołdapska 17
pa_68198,ul_2552,ul. Gołdapska,19,51-429,Gołdapska 19
pa_77612,ul_2552,ul. Gołdapska,21,52-429,Gołdapska 21
pa_77613,ul_2552,ul. Gołdapska,23,52-429,Gołdapska 23
pa_77614,ul_2552,ul. Gołdapska,25,52-429,Gołdapska 25
pa_77615,ul_2552,ul. Gołdapska,27,52-429,Gołdapska 27
pa_68888,ul_2552,ul. Gołdapska,3,51-429,Gołdapska 3
pa_68848,ul_2552,ul. Gołdapska,4,51-429,Gołdapska 4
pa_68847,ul_2552,ul. Gołdapska,6,51-429,Gołdapska 6
pa_68889,ul_2552,ul. Gołdapska,7,51-429,Gołdapska 7
pa_70905,ul_2552,ul. Gołdapska,7a,51-429,Gołdapska 7a
pa_68193,ul_2552,ul. Gołdapska,9,51-429,Gołdapska 9
pa_20525,ul_1797,ul. Gołębia,1,51-419,Gołębia 1
pa_13122,ul_1797,ul. Gołębia,10,51-419,Gołębia 10
pa_50854,ul_1797,ul. Gołębia,11,51-419,Gołębia 11
pa_14438,ul_1797,ul. Gołębia,12,51-419,Gołębia 12
pa_44927,ul_1797,ul. Gołębia,13,51-419,Gołębia 13
pa_56363,ul_1797,ul. Gołębia,3,51-419,Gołębia 3
pa_13964,ul_1797,ul. Gołębia,3a,51-419,Gołębia 3a
pa_5841,ul_1797,ul. Gołębia,5,51-419,Gołębia 5
pa_67286,ul_1797,ul. Gołębia,5a,51-419,Gołębia 5a
pa_21974,ul_1797,ul. Gołębia,6,51-419,Gołębia 6
pa_43427,ul_1797,ul. Gołębia,7,51-419,Gołębia 7
pa_45112,ul_1797,ul. Gołębia,8,51-419,Gołębia 8
pa_59776,ul_1797,ul. Gołębia,9,51-419,Gołębia 9
pa_49033,ul_1797,ul. Gołębia,9a,51-419,Gołębia 9a
pa_24046,ul_1798,ul. Gołężycka,1,54-152,Gołężycka 1
pa_36424,ul_1798,ul. Gołężycka,10,54-152,Gołężycka 10
pa_16576,ul_1798,ul. Gołężycka,11,54-152,Gołężycka 11
pa_43591,ul_1798,ul. Gołężycka,12,54-152,Gołężycka 12
pa_30958,ul_1798,ul. Gołężycka,13,54-152,Gołężycka 13
pa_31680,ul_1798,ul. Gołężycka,14,54-152,Gołężycka 14
pa_13385,ul_1798,ul. Gołężycka,15,54-152,Gołężycka 15
pa_7558,ul_1798,ul. Gołężycka,16,54-152,Gołężycka 16
pa_11792,ul_1798,ul. Gołężycka,17,54-152,Gołężycka 17
pa_34026,ul_1798,ul. Gołężycka,18,54-152,Gołężycka 18
pa_25521,ul_1798,ul. Gołężycka,19,54-152,Gołężycka 19
pa_30154,ul_1798,ul. Gołężycka,2,54-152,Gołężycka 2
pa_24526,ul_1798,ul. Gołężycka,20,54-152,Gołężycka 20
pa_13072,ul_1798,ul. Gołężycka,21,54-152,Gołężycka 21
pa_37386,ul_1798,ul. Gołężycka,22,54-152,Gołężycka 22
pa_45590,ul_1798,ul. Gołężycka,23,54-152,Gołężycka 23
pa_49405,ul_1798,ul. Gołężycka,24,54-152,Gołężycka 24
pa_9178,ul_1798,ul. Gołężycka,25,54-152,Gołężycka 25
pa_38708,ul_1798,ul. Gołężycka,26,54-152,Gołężycka 26
pa_20808,ul_1798,ul. Gołężycka,27,54-152,Gołężycka 27
pa_16310,ul_1798,ul. Gołężycka,28,54-152,Gołężycka 28
pa_54860,ul_1798,ul. Gołężycka,29,54-152,Gołężycka 29
pa_12792,ul_1798,ul. Gołężycka,3,54-152,Gołężycka 3
pa_17080,ul_1798,ul. Gołężycka,30,54-152,Gołężycka 30
pa_51304,ul_1798,ul. Gołężycka,32,54-152,Gołężycka 32
pa_38345,ul_1798,ul. Gołężycka,34,54-152,Gołężycka 34
pa_4256,ul_1798,ul. Gołężycka,36,54-152,Gołężycka 36
pa_29135,ul_1798,ul. Gołężycka,38,54-152,Gołężycka 38
pa_31600,ul_1798,ul. Gołężycka,4,54-152,Gołężycka 4
pa_19707,ul_1798,ul. Gołężycka,40,54-152,Gołężycka 40
pa_6997,ul_1798,ul. Gołężycka,42,54-152,Gołężycka 42
pa_17614,ul_1798,ul. Gołężycka,44,54-152,Gołężycka 44
pa_13880,ul_1798,ul. Gołężycka,46,54-152,Gołężycka 46
pa_40410,ul_1798,ul. Gołężycka,48,54-152,Gołężycka 48
pa_32469,ul_1798,ul. Gołężycka,4a,54-152,Gołężycka 4a
pa_49850,ul_1798,ul. Gołężycka,5,54-152,Gołężycka 5
pa_40219,ul_1798,ul. Gołężycka,50,54-152,Gołężycka 50
pa_29988,ul_1798,ul. Gołężycka,52,54-152,Gołężycka 52
pa_49996,ul_1798,ul. Gołężycka,6,54-152,Gołężycka 6
pa_16930,ul_1798,ul. Gołężycka,7,54-152,Gołężycka 7
pa_877,ul_1798,ul. Gołężycka,7a,54-152,Gołężycka 7a
pa_14864,ul_1798,ul. Gołężycka,8,54-152,Gołężycka 8
pa_59038,ul_1798,ul. Gołężycka,9,54-152,Gołężycka 9
pa_28027,ul_1799,ul. Gołnowska,10,54-315,Gołnowska 10
pa_14787,ul_1799,ul. Gołnowska,11,54-315,Gołnowska 11
pa_56745,ul_1799,ul. Gołnowska,12,54-315,Gołnowska 12
pa_14936,ul_1799,ul. Gołnowska,14,54-315,Gołnowska 14
pa_28925,ul_1799,ul. Gołnowska,16,54-315,Gołnowska 16
pa_14455,ul_1799,ul. Gołnowska,16a,54-315,Gołnowska 16a
pa_33721,ul_1799,ul. Gołnowska,18-20,54-315,Gołnowska 18-20
pa_7830,ul_1799,ul. Gołnowska,19,54-315,Gołnowska 19
pa_52873,ul_1799,ul. Gołnowska,21,54-315,Gołnowska 21
pa_10171,ul_1799,ul. Gołnowska,22,54-315,Gołnowska 22
pa_44877,ul_1799,ul. Gołnowska,23,54-315,Gołnowska 23
pa_34334,ul_1799,ul. Gołnowska,24,54-315,Gołnowska 24
pa_12209,ul_1799,ul. Gołnowska,25,54-315,Gołnowska 25
pa_15364,ul_1799,ul. Gołnowska,26,54-315,Gołnowska 26
pa_10780,ul_1799,ul. Gołnowska,27,54-315,Gołnowska 27
pa_54356,ul_1799,ul. Gołnowska,29,54-315,Gołnowska 29
pa_19591,ul_1799,ul. Gołnowska,3,54-315,Gołnowska 3
pa_24864,ul_1799,ul. Gołnowska,31,54-315,Gołnowska 31
pa_14782,ul_1799,ul. Gołnowska,4,54-315,Gołnowska 4
pa_26963,ul_1799,ul. Gołnowska,5,54-315,Gołnowska 5
pa_47545,ul_1799,ul. Gołnowska,6,54-315,Gołnowska 6
pa_41722,ul_1799,ul. Gołnowska,7,54-315,Gołnowska 7
pa_56512,ul_1799,ul. Gołnowska,8,54-315,Gołnowska 8
pa_52661,ul_1799,ul. Gołnowska,9,54-315,Gołnowska 9
pa_47985,ul_21,ul. Witolda Gombrowicza,1,54-622,Gombrowicza 1
pa_21757,ul_21,ul. Witolda Gombrowicza,11,54-622,Gombrowicza 11
pa_50418,ul_21,ul. Witolda Gombrowicza,13,54-622,Gombrowicza 13
pa_11930,ul_21,ul. Witolda Gombrowicza,3,54-622,Gombrowicza 3
pa_46082,ul_21,ul. Witolda Gombrowicza,5,54-622,Gombrowicza 5
pa_42430,ul_21,ul. Witolda Gombrowicza,7,54-622,Gombrowicza 7
pa_53680,ul_21,ul. Witolda Gombrowicza,9,54-622,Gombrowicza 9
pa_51783,ul_1800,ul. Goplan,10,52-340,Goplan 10
pa_22916,ul_1800,ul. Goplan,11,52-340,Goplan 11
pa_42207,ul_1800,ul. Goplan,12,52-340,Goplan 12
pa_30845,ul_1800,ul. Goplan,13,52-340,Goplan 13
pa_18379,ul_1800,ul. Goplan,14,52-340,Goplan 14
pa_46604,ul_1800,ul. Goplan,15,52-340,Goplan 15
pa_57577,ul_1800,ul. Goplan,16,52-340,Goplan 16
pa_13621,ul_1800,ul. Goplan,17,52-340,Goplan 17
pa_54693,ul_1800,ul. Goplan,18,52-340,Goplan 18
pa_34962,ul_1800,ul. Goplan,19,52-340,Goplan 19
pa_25445,ul_1800,ul. Goplan,20,52-340,Goplan 20
pa_10082,ul_1800,ul. Goplan,3,52-340,Goplan 3
pa_13303,ul_1800,ul. Goplan,4,52-340,Goplan 4
pa_32655,ul_1800,ul. Goplan,5,52-340,Goplan 5
pa_17017,ul_1800,ul. Goplan,6,52-340,Goplan 6
pa_32733,ul_1800,ul. Goplan,7,52-340,Goplan 7
pa_32049,ul_1800,ul. Goplan,8,52-340,Goplan 8
pa_18581,ul_1800,ul. Goplan,9,52-340,Goplan 9
pa_76039,ul_2555,ul. Gorczycowa,1,51-180,Gorczycowa 1
pa_76047,ul_2555,ul. Gorczycowa,10,51-180,Gorczycowa 10
pa_76044,ul_2555,ul. Gorczycowa,11,51-180,Gorczycowa 11
pa_76048,ul_2555,ul. Gorczycowa,12,51-180,Gorczycowa 12
pa_76045,ul_2555,ul. Gorczycowa,13,51-180,Gorczycowa 13
pa_76049,ul_2555,ul. Gorczycowa,14,51-180,Gorczycowa 14
pa_76050,ul_2555,ul. Gorczycowa,16,51-180,Gorczycowa 16
pa_76051,ul_2555,ul. Gorczycowa,18,51-180,Gorczycowa 18
pa_68184,ul_2555,ul. Gorczycowa,2,51-180,Gorczycowa 2
pa_76040,ul_2555,ul. Gorczycowa,3,51-180,Gorczycowa 3
pa_68185,ul_2555,ul. Gorczycowa,4,51-180,Gorczycowa 4
pa_76041,ul_2555,ul. Gorczycowa,5,51-180,Gorczycowa 5
pa_68186,ul_2555,ul. Gorczycowa,6,51-180,Gorczycowa 6
pa_76042,ul_2555,ul. Gorczycowa,7,51-180,Gorczycowa 7
pa_76046,ul_2555,ul. Gorczycowa,8,51-180,Gorczycowa 8
pa_76043,ul_2555,ul. Gorczycowa,9,51-180,Gorczycowa 9
pa_14076,ul_1801,ul. Gorlicka,1,51-314,Gorlicka 1
pa_48270,ul_1801,ul. Gorlicka,10,51-314,Gorlicka 10
pa_11045,ul_1801,ul. Gorlicka,11,51-314,Gorlicka 11
pa_7165,ul_1801,ul. Gorlicka,12,51-314,Gorlicka 12
pa_33211,ul_1801,ul. Gorlicka,13,51-314,Gorlicka 13
pa_57162,ul_1801,ul. Gorlicka,13a,51-314,Gorlicka 13a
pa_41259,ul_1801,ul. Gorlicka,14,51-314,Gorlicka 14
pa_58115,ul_1801,ul. Gorlicka,16,51-314,Gorlicka 16
pa_17269,ul_1801,ul. Gorlicka,17,51-314,Gorlicka 17
pa_43635,ul_1801,ul. Gorlicka,17a,51-314,Gorlicka 17a
pa_55306,ul_1801,ul. Gorlicka,17b,51-314,Gorlicka 17b
pa_55481,ul_1801,ul. Gorlicka,18,51-314,Gorlicka 18
pa_20900,ul_1801,ul. Gorlicka,18a,51-314,Gorlicka 18a
pa_61478,ul_1801,ul. Gorlicka,19,51-314,Gorlicka 19
pa_4270,ul_1801,ul. Gorlicka,2,51-314,Gorlicka 2
pa_50015,ul_1801,ul. Gorlicka,20,51-314,Gorlicka 20
pa_10652,ul_1801,ul. Gorlicka,21,51-314,Gorlicka 21
pa_42019,ul_1801,ul. Gorlicka,22,51-314,Gorlicka 22
pa_46224,ul_1801,ul. Gorlicka,24,51-314,Gorlicka 24
pa_52314,ul_1801,ul. Gorlicka,25,51-314,Gorlicka 25
pa_21344,ul_1801,ul. Gorlicka,26,51-314,Gorlicka 26
pa_37298,ul_1801,ul. Gorlicka,27,51-314,Gorlicka 27
pa_42082,ul_1801,ul. Gorlicka,3,51-314,Gorlicka 3
pa_35941,ul_1801,ul. Gorlicka,30,51-314,Gorlicka 30
pa_36983,ul_1801,ul. Gorlicka,30b,51-314,Gorlicka 30b
pa_24742,ul_1801,ul. Gorlicka,32,51-314,Gorlicka 32
pa_55220,ul_1801,ul. Gorlicka,34,51-314,Gorlicka 34
pa_19210,ul_1801,ul. Gorlicka,35,51-314,Gorlicka 35
pa_37172,ul_1801,ul. Gorlicka,36,51-314,Gorlicka 36
pa_21889,ul_1801,ul. Gorlicka,37,51-314,Gorlicka 37
pa_15490,ul_1801,ul. Gorlicka,38,51-314,Gorlicka 38
pa_7270,ul_1801,ul. Gorlicka,39,51-314,Gorlicka 39
pa_28778,ul_1801,ul. Gorlicka,4,51-314,Gorlicka 4
pa_55475,ul_1801,ul. Gorlicka,40,51-314,Gorlicka 40
pa_46895,ul_1801,ul. Gorlicka,40a,51-314,Gorlicka 40a
pa_42216,ul_1801,ul. Gorlicka,41,51-314,Gorlicka 41
pa_52881,ul_1801,ul. Gorlicka,42,51-314,Gorlicka 42
pa_28571,ul_1801,ul. Gorlicka,42a,51-314,Gorlicka 42a
pa_42788,ul_1801,ul. Gorlicka,42b,51-314,Gorlicka 42b
pa_25338,ul_1801,ul. Gorlicka,43,51-314,Gorlicka 43
pa_26019,ul_1801,ul. Gorlicka,43a,51-314,Gorlicka 43a
pa_12241,ul_1801,ul. Gorlicka,45,51-314,Gorlicka 45
pa_39389,ul_1801,ul. Gorlicka,45a,51-314,Gorlicka 45a
pa_54342,ul_1801,ul. Gorlicka,47,51-314,Gorlicka 47
pa_1805,ul_1801,ul. Gorlicka,49,51-314,Gorlicka 49
pa_1957,ul_1801,ul. Gorlicka,49a,51-314,Gorlicka 49a
pa_6832,ul_1801,ul. Gorlicka,5,51-314,Gorlicka 5
pa_17762,ul_1801,ul. Gorlicka,51,51-314,Gorlicka 51
pa_110452,ul_1801,ul. Gorlicka,51a,51-314,Gorlicka 51a
pa_14959,ul_1801,ul. Gorlicka,52,51-314,Gorlicka 52
pa_1175,ul_1801,ul. Gorlicka,54,51-314,Gorlicka 54
pa_1176,ul_1801,ul. Gorlicka,54a,51-314,Gorlicka 54a
pa_1177,ul_1801,ul. Gorlicka,54b,51-314,Gorlicka 54b
pa_1178,ul_1801,ul. Gorlicka,54c,51-314,Gorlicka 54c
pa_1183,ul_1801,ul. Gorlicka,54d,51-314,Gorlicka 54d
pa_5878,ul_1801,ul. Gorlicka,55,51-314,Gorlicka 55
pa_1185,ul_1801,ul. Gorlicka,56,51-314,Gorlicka 56
pa_1186,ul_1801,ul. Gorlicka,56a,51-314,Gorlicka 56a
pa_1187,ul_1801,ul. Gorlicka,56b,51-314,Gorlicka 56b
pa_1188,ul_1801,ul. Gorlicka,56c,51-314,Gorlicka 56c
pa_1189,ul_1801,ul. Gorlicka,56d,51-314,Gorlicka 56d
pa_1174,ul_1801,ul. Gorlicka,58,51-314,Gorlicka 58
pa_1184,ul_1801,ul. Gorlicka,58a,51-314,Gorlicka 58a
pa_1179,ul_1801,ul. Gorlicka,58b,51-314,Gorlicka 58b
pa_1180,ul_1801,ul. Gorlicka,58c,51-314,Gorlicka 58c
pa_1181,ul_1801,ul. Gorlicka,58d,51-314,Gorlicka 58d
pa_1182,ul_1801,ul. Gorlicka,58e,51-314,Gorlicka 58e
pa_29764,ul_1801,ul. Gorlicka,6,51-314,Gorlicka 6
pa_1953,ul_1801,ul. Gorlicka,60,51-314,Gorlicka 60
pa_35130,ul_1801,ul. Gorlicka,61,51-314,Gorlicka 61
pa_5335,ul_1801,ul. Gorlicka,62,51-314,Gorlicka 62
pa_4191,ul_1801,ul. Gorlicka,64,51-314,Gorlicka 64
pa_4782,ul_1801,ul. Gorlicka,65,51-314,Gorlicka 65
pa_4895,ul_1801,ul. Gorlicka,66,51-314,Gorlicka 66
pa_2795,ul_1801,ul. Gorlicka,67,51-314,Gorlicka 67
pa_4165,ul_1801,ul. Gorlicka,68,51-314,Gorlicka 68
pa_2796,ul_1801,ul. Gorlicka,69,51-314,Gorlicka 69
pa_23245,ul_1801,ul. Gorlicka,7,51-314,Gorlicka 7
pa_5105,ul_1801,ul. Gorlicka,70,51-314,Gorlicka 70
pa_4261,ul_1801,ul. Gorlicka,71,51-314,Gorlicka 71
pa_4355,ul_1801,ul. Gorlicka,72,51-314,Gorlicka 72
pa_5733,ul_1801,ul. Gorlicka,73,51-314,Gorlicka 73
pa_1147,ul_1801,ul. Gorlicka,74,51-314,Gorlicka 74
pa_5180,ul_1801,ul. Gorlicka,76,51-314,Gorlicka 76
pa_4530,ul_1801,ul. Gorlicka,78,51-314,Gorlicka 78
pa_57717,ul_1801,ul. Gorlicka,7a,51-314,Gorlicka 7a
pa_36276,ul_1801,ul. Gorlicka,8,51-314,Gorlicka 8
pa_2750,ul_1801,ul. Gorlicka,80,51-314,Gorlicka 80
pa_2751,ul_1801,ul. Gorlicka,82,51-314,Gorlicka 82
pa_2752,ul_1801,ul. Gorlicka,84,51-314,Gorlicka 84
pa_2794,ul_1801,ul. Gorlicka,86,51-314,Gorlicka 86
pa_2748,ul_1801,ul. Gorlicka,88,51-314,Gorlicka 88
pa_55034,ul_1801,ul. Gorlicka,8a,51-314,Gorlicka 8a
pa_19700,ul_1801,ul. Gorlicka,9,51-314,Gorlicka 9
pa_2749,ul_1801,ul. Gorlicka,90,51-314,Gorlicka 90
pa_1079,ul_1801,ul. Gorlicka,92,51-314,Gorlicka 92
pa_44067,ul_1989,ul. Gosławicka,1,54-107,Gosławicka 1
pa_54215,ul_1989,ul. Gosławicka,11,54-107,Gosławicka 11
pa_40721,ul_1989,ul. Gosławicka,13,54-107,Gosławicka 13
pa_9209,ul_1989,ul. Gosławicka,14,54-107,Gosławicka 14
pa_56128,ul_1989,ul. Gosławicka,15,54-107,Gosławicka 15
pa_52872,ul_1989,ul. Gosławicka,17,54-107,Gosławicka 17
pa_8670,ul_1989,ul. Gosławicka,21,54-107,Gosławicka 21
pa_40673,ul_1989,ul. Gosławicka,2a,54-107,Gosławicka 2a
pa_23510,ul_1989,ul. Gosławicka,3,54-107,Gosławicka 3
pa_25655,ul_1989,ul. Gosławicka,4,54-107,Gosławicka 4
pa_6702,ul_1989,ul. Gosławicka,5,54-107,Gosławicka 5
pa_3716,ul_1989,ul. Gosławicka,6,54-107,Gosławicka 6
pa_26722,ul_1989,ul. Gosławicka,7,54-107,Gosławicka 7
pa_44551,ul_1989,ul. Gosławicka,7a,54-107,Gosławicka 7a
pa_15954,ul_1989,ul. Gosławicka,9,54-107,Gosławicka 9
pa_26025,ul_1802,ul. Gospodarska,1,51-503,Gospodarska 1
pa_45445,ul_1802,ul. Gospodarska,11,51-503,Gospodarska 11
pa_106552,ul_1802,ul. Gospodarska,14,51-503,Gospodarska 14
pa_59615,ul_1802,ul. Gospodarska,1a,51-503,Gospodarska 1a
pa_21178,ul_1802,ul. Gospodarska,2,51-503,Gospodarska 2
pa_17092,ul_1802,ul. Gospodarska,9,51-503,Gospodarska 9
pa_45048,ul_1803,ul. Gostyńska,1,51-222,Gostyńska 1
pa_44820,ul_1803,ul. Gostyńska,11,51-222,Gostyńska 11
pa_53165,ul_1803,ul. Gostyńska,13,51-222,Gostyńska 13
pa_6960,ul_1803,ul. Gostyńska,15,51-222,Gostyńska 15
pa_54751,ul_1803,ul. Gostyńska,17,51-222,Gostyńska 17
pa_23237,ul_1803,ul. Gostyńska,21,51-222,Gostyńska 21
pa_28283,ul_1803,ul. Gostyńska,23,51-222,Gostyńska 23
pa_57084,ul_1803,ul. Gostyńska,25,51-222,Gostyńska 25
pa_20661,ul_1803,ul. Gostyńska,27,51-222,Gostyńska 27
pa_12297,ul_1803,ul. Gostyńska,29,51-222,Gostyńska 29
pa_49313,ul_1803,ul. Gostyńska,3,51-222,Gostyńska 3
pa_59402,ul_1803,ul. Gostyńska,5,51-222,Gostyńska 5
pa_16517,ul_1803,ul. Gostyńska,7,51-222,Gostyńska 7
pa_54735,ul_1803,ul. Gostyńska,9,51-222,Gostyńska 9
pa_60738,ul_338,ul. Seweryna Goszczyńskiego,1,51-138,Goszczyńskiego 1
pa_50248,ul_338,ul. Seweryna Goszczyńskiego,1a,51-138,Goszczyńskiego 1a
pa_36699,ul_338,ul. Seweryna Goszczyńskiego,2,51-138,Goszczyńskiego 2
pa_21925,ul_338,ul. Seweryna Goszczyńskiego,4,51-138,Goszczyńskiego 4
